product_name,price,stock_quantity
Wireless Mouse,25000,45
Mechanical Keyboard,85000,30
HD Monitor 24-inch,150000,12
USB-C Hub,35000,50
External SSD 1TB,120000,20
Bluetooth Speaker,45000,35
Noise Canceling Headphones,180000,15
Webcam 1080p,55000,25
Gaming Chair,250000,8
Laptop Stand,28000,40
Smartphone Stand,12000,100
Screen Protector,8000,150
Phone Case,15000,80
Fast Charger 65W,32000,60
Wireless Earbuds,65000,40
Smart Watch,110000,18
Fitness Tracker,42000,22
Power Bank 20000mAh,38000,30
HDMI Cable 6ft,9000,75
MicroSD Card 128GB,18000,90
Desk Pad Large,22000,35
Ergonomic Pillow,35000,25
LED Desk Lamp,29000,40
Water Bottle Stainless Steel,16000,65
Coffee Mug Insulated,14000,50
Backpack Waterproof,48000,28
Notebook Hardcover,6000,120
Gel Pen Set 12pk,5000,200
Sticky Notes 12pk,4000,180
Desk Organizer,19000,30
Air Purifier Desktop,89000,10
Electric Kettle,31000,22
Mini Fridge,195000,5
Portable Fan,13000,85
Bluetooth Adapter,11000,70
Ethernet Cable 10ft,7000,110
Surge Protector 6-Outlet,24000,45
Cable Management Clips,6000,150
Ring Light 10-inch,34000,20
Microphone USB,78000,14
Pop Filter,9000,55
Tripod Compact,27000,32
Action Camera 4K,135000,9
Memory Card Reader,12000,60
VR Headset,299000,4
Smart Bulb RGB,15000,80
Smart Plug WiFi,17000,75
Wireless Security Camera,62000,16
Robot Vacuum,245000,6
Portable Projector,175000,11
Standing Desk Converter,165000,7
Monitor Arm Dual,58000,19
Footrest Ergonomic,23000,33
Paper Shredder,52000,12
Label Maker,36000,24
Whiteboard Small,18000,40
Dry Erase Markers 8pk,7000,90
Document Scanner,145000,8
Wireless Presenter Clicker,16000,45
Graphics Drawing Tablet,95000,13
Stylus Pen Universal,14000,65
Laptop Sleeve 15-inch,21000,50
Blue Light Glasses,13000,85
Wrist Rest Keyboard,11000,60
Mouse Pad RGB,19000,42
Webcam Cover 3pk,3000,300
Cleaning Gel Keyboard,5000,140
Microfiber Cloths 6pk,8000,110
Compressed Air Duster,9000,95
Cable Sleeves 4pk,10000,70
AA Batteries 16pk,12000,100
AAA Batteries 16pk,12000,100
Rechargeable Battery Charger,22000,35
Flash Drive 64GB,10000,1200
External Hard Drive 2TB,85000,25
Wi-Fi Router Dual Band,59000,18
Wi-Fi Range Extender,31000,30
Mesh Wi-Fi System,189000,8
KVM Switch 2-Port,44000,15
USB-C to HDMI Adapter,17000,65
Audio Cable Aux 3.5mm,4000,130
Headphone Stand,15000,50
Soundbar TV,115000,12
Subwoofer Compact,139000,7
Gaming Controller PC,45000,28
Flight Joystick,89000,9
Steering Wheel Gaming,199000,5
Capture Card 4K,98000,11
Green Screen Collapsible,68000,14
Studio Lights Pair,125000,10
Acoustic Foam Panels 12pk,33000,22
Thermal Label Printer,88000,16
Barcode Scanner Wireless,42000,20
Cash Drawer,55000,11
Receipt Paper Rolls 10pk,12000,80
Anti-Static Mat,16000,40
Soldering Iron Kit,27000,25
Precision Screwdriver Set,19000,55
Digital Multimeter,24000,38
Wire Stripper Tool,11000,65
